latitude,longitude,altitude,geometry,id,type,league,slug,location,name,nickname,abbreviation,displayName,shortDisplayName,color,alternateColor,isActive,logo,athletesUrl,venueUrl,venueId,venueName,venueCity,venueState,venueCountry,venueAddress
33.7483,-84.3911,,Point,1,basketball,nba,atlanta-hawks,Atlanta,Hawks,,ATL,Atlanta Hawks,Hawks,c8102e,fdb927,true,https://a.espncdn.com/i/teamlogos/nba/500/atl.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/1/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1827?lang=en&region=us,1827,State Farm Arena,Atlanta,GA,USA,"Atlanta, GA USA"
42.3587,-71.0567,,Point,2,basketball,nba,boston-celtics,Boston,Celtics,,BOS,Boston Celtics,Celtics,008348,bb9753,true,https://a.espncdn.com/i/teamlogos/nba/500/bos.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/2/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1824?lang=en&region=us,1824,TD Garden,Boston,MA,USA,"Boston, MA USA"
29.9537,-90.0777,,Point,3,basketball,nba,new-orleans-pelicans,New Orleans,Pelicans,,NO,New Orleans Pelicans,Pelicans,0a2240,b4975a,true,https://a.espncdn.com/i/teamlogos/nba/500/no.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/3/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/985?lang=en&region=us,985,Smoothie King Center,New Orleans,LA,USA,"New Orleans, LA USA"
41.8843,-87.6324,,Point,4,basketball,nba,chicago-bulls,Chicago,Bulls,,CHI,Chicago Bulls,Bulls,ce1141,000000,true,https://a.espncdn.com/i/teamlogos/nba/500/chi.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/4/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1847?lang=en&region=us,1847,United Center,Chicago,IL,USA,"Chicago, IL USA"
41.5047,-81.6907,,Point,5,basketball,nba,cleveland-cavaliers,Cleveland,Cavaliers,,CLE,Cleveland Cavaliers,Cavaliers,860038,bc945c,true,https://a.espncdn.com/i/teamlogos/nba/500/cle.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/5/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/3417?lang=en&region=us,3417,Rocket Mortgage FieldHouse,Cleveland,OH,USA,"Cleveland, OH USA"
32.7782,-96.7951,,Point,6,basketball,nba,dallas-mavericks,Dallas,Mavericks,,DAL,Dallas Mavericks,Mavericks,0064b1,bbc4ca,true,https://a.espncdn.com/i/teamlogos/nba/500/dal.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/6/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/516?lang=en&region=us,516,American Airlines Center,Dallas,TX,USA,"Dallas, TX USA"
39.74,-104.992,,Point,7,basketball,nba,denver-nuggets,Denver,Nuggets,,DEN,Denver Nuggets,Nuggets,0e2240,fec524,true,https://a.espncdn.com/i/teamlogos/nba/500/den.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/7/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/892?lang=en&region=us,892,Ball Arena,Denver,CO,USA,"Denver, CO USA"
42.3317,-83.048,,Point,8,basketball,nba,detroit-pistons,Detroit,Pistons,,DET,Detroit Pistons,Pistons,1d428a,c8102e,true,https://a.espncdn.com/i/teamlogos/nba/500/det.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/8/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/5311?lang=en&region=us,5311,Little Caesars Arena,,,,Detroit
37.8051,-122.2731,,Point,9,basketball,nba,golden-state-warriors,Golden State,Warriors,,GS,Golden State Warriors,Warriors,1d428a,fdb927,true,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/9/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/2465?lang=en&region=us,2465,ORACLE Arena,Oakland,CA,USA,"Oakland, CA USA"
29.7608,-95.3695,,Point,10,basketball,nba,houston-rockets,Houston,Rockets,,HOU,Houston Rockets,Rockets,ce1141,000000,true,https://a.espncdn.com/i/teamlogos/nba/500/hou.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/10/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1394?lang=en&region=us,1394,Toyota Center (Houston),Houston,TX,USA,"Houston, TX USA"
39.7669,-86.1501,,Point,11,basketball,nba,indiana-pacers,Indiana,Pacers,,IND,Indiana Pacers,Pacers,002d62,fdbb30,true,https://a.espncdn.com/i/teamlogos/nba/500/ind.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/11/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/2183?lang=en&region=us,2183,Gainbridge Fieldhouse,Indianapolis,IN,USA,"Indianapolis, IN USA"
34.0536,-118.2454,,Point,12,basketball,nba,la-clippers,LA,Clippers,,LAC,LA Clippers,Clippers,1d428a,c8102e,true,https://a.espncdn.com/i/teamlogos/nba/500/lac.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/12/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1841?lang=en&region=us,1841,crypto.com Arena,Los Angeles,CA,USA,"Los Angeles, CA USA"
34.0536,-118.2454,,Point,13,basketball,nba,los-angeles-lakers,Los Angeles,Lakers,,LAL,Los Angeles Lakers,Lakers,552583,fdb927,true,https://a.espncdn.com/i/teamlogos/nba/500/lal.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/13/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1841?lang=en&region=us,1841,crypto.com Arena,Los Angeles,CA,USA,"Los Angeles, CA USA"
25.7748,-80.1977,,Point,14,basketball,nba,miami-heat,Miami,Heat,,MIA,Miami Heat,Heat,98002e,f9a01b,true,https://a.espncdn.com/i/teamlogos/nba/500/mia.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/14/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/3438?lang=en&region=us,3438,Kaseya Center,Miami,FL,USA,"Miami, FL USA"
43.0422,-87.9069,,Point,15,basketball,nba,milwaukee-bucks,Milwaukee,Bucks,,MIL,Milwaukee Bucks,Bucks,00471b,eee1c6,true,https://a.espncdn.com/i/teamlogos/nba/500/mil.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/15/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/2099?lang=en&region=us,2099,BMO Harris Bradley Center,Milwaukee,WI,USA,"Milwaukee, WI USA"
44.979,-93.2649,,Point,16,basketball,nba,minnesota-timberwolves,Minnesota,Timberwolves,,MIN,Minnesota Timberwolves,Timberwolves,266092,79bc43,true,https://a.espncdn.com/i/teamlogos/nba/500/min.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/16/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/2029?lang=en&region=us,2029,Target Center,Minneapolis,MN,USA,"Minneapolis, MN USA"
40.732,-74.1742,,Point,17,basketball,nba,brooklyn-nets,Brooklyn,Nets,,BKN,Brooklyn Nets,Nets,000000,ffffff,true,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/17/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1826?lang=en&region=us,1826,Prudential Center,Newark,NJ,USA,"Newark, NJ USA"
40.7145,-74.0071,,Point,18,basketball,nba,new-york-knicks,New York,Knicks,,NY,New York Knicks,Knicks,1d428a,f58426,true,https://a.espncdn.com/i/teamlogos/nba/500/ny.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/18/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1830?lang=en&region=us,1830,Madison Square Garden,New York,NY,USA,"New York, NY USA"
28.5382,-81.3774,,Point,19,basketball,nba,orlando-magic,Orlando,Magic,,ORL,Orlando Magic,Magic,0077c0,c4ced4,true,https://a.espncdn.com/i/teamlogos/nba/500/orl.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/19/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/3432?lang=en&region=us,3432,Amway Center,Orlando,FL,USA,"Orlando, FL USA"
39.9522,-75.1622,,Point,20,basketball,nba,philadelphia-76ers,Philadelphia,76ers,,PHI,Philadelphia 76ers,76ers,1d428a,e01234,true,https://a.espncdn.com/i/teamlogos/nba/500/phi.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/20/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1845?lang=en&region=us,1845,Wells Fargo Center,Philadelphia,PA,USA,"Philadelphia, PA USA"
33.4483,-112.0758,,Point,21,basketball,nba,phoenix-suns,Phoenix,Suns,,PHX,Phoenix Suns,Suns,29127a,e56020,true,https://a.espncdn.com/i/teamlogos/nba/500/phx.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/21/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1949?lang=en&region=us,1949,Footprint Center,Phoenix,AZ,USA,"Phoenix, AZ USA"
45.5118,-122.6756,,Point,22,basketball,nba,portland-trail-blazers,Portland,Trail Blazers,,POR,Portland Trail Blazers,Trail Blazers,e03a3e,000000,true,https://a.espncdn.com/i/teamlogos/nba/500/por.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/22/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/3423?lang=en&region=us,3423,Moda Center,Portland,OR,USA,"Portland, OR USA"
38.5794,-121.4908,,Point,23,basketball,nba,sacramento-kings,Sacramento,Kings,,SAC,Sacramento Kings,Kings,393996,6a7a82,true,https://a.espncdn.com/i/teamlogos/nba/500/sac.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/23/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/2247?lang=en&region=us,2247,Sleep Train Arena,Sacramento,CA,USA,"Sacramento, CA USA"
29.4246,-98.4946,,Point,24,basketball,nba,san-antonio-spurs,San Antonio,Spurs,,SA,San Antonio Spurs,Spurs,000000,c4ced4,true,https://a.espncdn.com/i/teamlogos/nba/500/sa.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/24/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/780?lang=en&region=us,780,AT&T Center,San Antonio,TX,USA,"San Antonio, TX USA"
35.472,-97.5211,,Point,25,basketball,nba,oklahoma-city-thunder,Oklahoma City,Thunder,,OKC,Oklahoma City Thunder,Thunder,007ac1,ef3b24,true,https://a.espncdn.com/i/teamlogos/nba/500/okc.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/25/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/2559?lang=en&region=us,2559,Paycom Center,Oklahoma City,OK,USA,"Oklahoma City, OK USA"
40.7603,-111.8882,,Point,26,basketball,nba,utah-jazz,Utah,Jazz,,UTAH,Utah Jazz,Jazz,fff21f,000000,true,https://a.espncdn.com/i/teamlogos/nba/500/utah.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/26/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/3093?lang=en&region=us,3093,Delta Center,Salt Lake City,UT,USA,"Salt Lake City, UT USA"
38.8904,-77.0319,,Point,27,basketball,nba,washington-wizards,Washington,Wizards,,WSH,Washington Wizards,Wizards,e31837,002b5c,true,https://a.espncdn.com/i/teamlogos/nba/500/wsh.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/27/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1823?lang=en&region=us,1823,Capital One Arena,Washington,DC,USA,"Washington, DC USA"
43.6535,-79.3839,,Point,28,basketball,nba,toronto-raptors,Toronto,Raptors,,TOR,Toronto Raptors,Raptors,d91244,000000,true,https://a.espncdn.com/i/teamlogos/nba/500/tor.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/28/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1838?lang=en&region=us,1838,Scotiabank Arena,Toronto,ON,USA,"Toronto, ON USA"
35.1498,-90.0492,,Point,29,basketball,nba,memphis-grizzlies,Memphis,Grizzlies,,MEM,Memphis Grizzlies,Grizzlies,5d76a9,12173f,true,https://a.espncdn.com/i/teamlogos/nba/500/mem.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/29/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1392?lang=en&region=us,1392,FedExForum,Memphis,TN,USA,"Memphis, TN USA"
35.2229,-80.838,,Point,30,basketball,nba,charlotte-hornets,Charlotte,Hornets,,CHA,Charlotte Hornets,Hornets,008ca8,1d1060,true,https://a.espncdn.com/i/teamlogos/nba/500/cha.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/30/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1893?lang=en&region=us,1893,Spectrum Center,Charlotte,NC,USA,"Charlotte, NC USA"
33.7483,-84.3911,,Point,1,football,nfl,atlanta-falcons,Atlanta,Falcons,Falcons,ATL,Atlanta Falcons,Falcons,a71930,000000,true,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2023/teams/1/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/venues/5348?lang=en&region=us,5348,Mercedes-Benz Stadium,Atlanta,GA,USA,"Atlanta, GA USA"
42.7672,-78.7439,,Point,2,football,nfl,buffalo-bills,Buffalo,Bills,Bills,BUF,Buffalo Bills,Bills,00338d,d50a0a,true,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2023/teams/2/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/venues/3883?lang=en&region=us,3883,Highmark Stadium,Orchard Park,NY,USA,"Orchard Park, NY USA"
41.8843,-87.6324,,Point,3,football,nfl,chicago-bears,Chicago,Bears,Bears,CHI,Chicago Bears,Bears,0b1c3a,fb4f14,true,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2023/teams/3/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/venues/3933?lang=en&region=us,3933,Soldier Field,Chicago,IL,USA,"Chicago, IL USA"
39.1271,-84.5144,,Point,4,football,nfl,cincinnati-bengals,Cincinnati,Bengals,Bengals,CIN,Cincinnati Bengals,Bengals,fb4f14,000000,true,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2023/teams/4/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/venues/3874?lang=en&region=us,3874,Paycor Stadium,Cincinnati,OH,USA,"Cincinnati, OH USA"
41.5047,-81.6907,,Point,5,football,nfl,cleveland-browns,Cleveland,Browns,Browns,CLE,Cleveland Browns,Browns,472a08,ff3c00,true,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2023/teams/5/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/venues/3679?lang=en&region=us,3679,Cleveland Browns Stadium,Cleveland,OH,USA,"Cleveland, OH USA"
32.7356,-97.1077,,Point,6,football,nfl,dallas-cowboys,Dallas,Cowboys,Cowboys,DAL,Dallas Cowboys,Cowboys,002a5c,b0b7bc,true,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2023/teams/6/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/venues/3687?lang=en&region=us,3687,AT&T Stadium,Arlington,TX,USA,"Arlington, TX USA"
39.74,-104.992,,Point,7,football,nfl,denver-broncos,Denver,Broncos,Broncos,DEN,Denver Broncos,Broncos,0a2343,fc4c02,true,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2023/teams/7/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/venues/3937?lang=en&region=us,3937,Empower Field at Mile High,Denver,CO,USA,"Denver, CO USA"
42.3317,-83.048,,Point,8,football,nfl,detroit-lions,Detroit,Lions,Lions,DET,Detroit Lions,Lions,0076b6,bbbbbb,true,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2023/teams/8/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/venues/3727?lang=en&region=us,3727,Ford Field,Detroit,MI,USA,"Detroit, MI USA"
